job_id,Job Title,Company Name,Level,Description,Essential Skills,Salary Info,Alumni Profile Link,Job Link
cde045b0-c700-4367-9333-f1da29ed3bf3,Sr. Design Engineer | Motivair Corporation,Motivair Corporation,"Job preferences match, workplace is on-site.","The Senior Design Engineer will create and revise 3D models, bills of material, and documentation for new and existing product lines using SolidWorks. Collaborating with internal departments and vendors is essential. Responsibilities include ensuring accuracy of models, managing SolidWorks PDM vault, creating engineering change requests, and supporting various departments. The role requires a Bachelor's degree in Mechanical Engineering, 10+ years of relevant experience, mechanical aptitude, and proficiency in SolidWorks. Strong problem-solving skills, teamwork, and communication abilities are essential. This role involves office-based work with occasional supplier and consultant interactions.","Essential skills required for the job:, , 1. Proficient in SolidWorks design software, 2. 10+ years of experience designing assemblies including sheet metal, frame structures, plumbing, and electrical components, 3. Mechanical aptitude and hands-on experience",Salary: $100K-$135K per year + bonus.,https://www.linkedin.com/in/dave-polisoto-24a18326?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAVdSZoBXUWjkW9OQcAaYJRkZZuCufrUXaU,https://www.linkedin.com/jobs/view/3941042916/
70c20563-1adc-46b0-a48d-6493a4369929,Account Executive | Intersection Co.,Intersection Co.,"Job location prefers on-site work, not remote.","Join Intersection as an Account Executive on our NYC team to drive revenue growth through OOH media sales. Leverage your media experience to build client relationships and secure new business opportunities in the dynamic NYC market. With a proven sales track record, strong communication skills, and competitive drive, you will excel in pitching Intersection’s innovative advertising solutions. Take your career to the next level with a company reshaping urban landscapes and delivering on promises to clients. Enjoy a total cash compensation of $120,000 - $150,000, and embrace a diverse, equitable work environment where all voices are valued. Unleash your potential and make a meaningful impact on cities worldwide. Apply now to join our team!","Essential skills required for the Account Executive position at Intersection:, , 1. Highly motivated self-starter, 2. Proven sales track record, 3. Strong communication skills, both written and oral, 4. Experience in selling media locally, in both static",$120k to $150k per year.,https://www.linkedin.com/in/jasonzerega?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAR9E_kBPbpQ1ATK67Tr-GpVv8H_mk9-cCk,https://www.linkedin.com/jobs/view/3807921999/
25cb9078-c6d8-49bf-9d2d-fe0fbedc0028,Staff Software Engineer (San Francisco) | Lakera,Lakera,Full-time employment.,"Join Lakera's San Francisco engineering hub as a Staff Software Engineer shaping the future of intelligent computing. Drive technical direction, contribute code, and mentor a team while focusing on SaaS applications, DevOps workflows, and more. Bring 8+ years of software development experience, expertise in scalable distributed computing stacks, monitoring systems, Python, CI/CD, and REST/gRPC APIs. Benefit from competitive compensation including salary, equity, and comprehensive benefits like health insurance, 401k, parental leave, unlimited PTO, and more. Hybrid work options available. Follow Lakera on social media for updates and join their AI Safety and Security community on Momentum. Email privacy@lakera.ai to opt out of recruitment emails.","1. 8+ years of commercial software development experience, 2. Deep hands-on coding experience in building scalable distributed computing application stacks, 3. Knowledge of technologies like Docker, Kubernetes, AWS, GCP, databases, and message busses, 4",NA,https://www.linkedin.com/in/alancommike?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAa6vsBTuCNmcZvey9Z1oG6ZPeaIfRRKEk,https://www.linkedin.com/jobs/view/3888272546/
c713ee40-e8a4-4297-960d-f11b421bc61c,Cadence Allegro Application Specialist (Hybrid or Remote) | Moog Inc.,Moog Inc.,Job type: Full-time.,"Join Moog's dynamic team as a Cadence Allegro Application Specialist in Western New York or other US locations. Utilize your 8+ years of experience in Cadence and electrical design tools to configure and customize Cadence solutions, support Moog's design capabilities, and collaborate with the business on solutions. Requirements include a Bachelor's degree in a related field, expertise in Cadence tools, and potential experience with Siemens Teamcenter PLM software. Receive competitive compensation, profit sharing, comprehensive benefits, flexible work arrangements, and opportunities for professional development. Apply now and contribute to Moog's innovative projects while enjoying work-life balance.","1. Bachelor of Science in Information Technology, Engineering, Computer Science, or a related field, 2. Minimum eight (8) years of experience using and configuring Cadence and other electrical design tools, 3. Proficiency in using and configuring Cadence",Salary information not provided. NA,https://www.linkedin.com/in/molly-ciocca-249a2018?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAO121kBbKF1ZagHQ7E2McBp00bILYN4fOI,https://www.linkedin.com/jobs/view/3904367056/
a4f63343-876c-4f49-8c79-0058ffb0f6ae,Vice President of Marketing and Public Relations | 43North,43North,Employment level: On-site.,"Join 43North as the Marketing Director responsible for shaping the organization's brand strategy, overseeing marketing initiatives, managing 43North Finals event, and mentoring portfolio company founders. Develop and execute integrated campaigns, lead a high-performing team, manage agency partners, and support founders with strategic guidance. Ideal candidates possess strong leadership skills, marketing expertise, a love for copywriting, and experience in content development. Must thrive in a fast-paced environment, have a passion for startups, and be willing to work in Buffalo, NY. Salary range $100,000-$140,000 with benefits included. To apply, send your resume and a brief statement of interest to Carly Ortiz at Carly@43north.org. Your confidentiality is respected. Equal employment opportunity is a","Essential skills required for the job:, , 1. Executive presence and public speaking skills, 2. Copywriting, writing, and editing abilities, 3. Experience in content development, including video production, 4. Leadership, communication",Salary: $100K - $140K per year.,https://www.linkedin.com/in/carly-ortiz-shrm-cp-08a070110?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABvF92oBa0FFuDwhNmQBJxbWFdryL_otYBw,https://www.linkedin.com/jobs/view/3939381027/
c3a659f3-f2eb-481e-a6cb-450926ab5382,Financial Advisor | Northwestern Mutual,Northwestern Mutual,Employment level: Full-time.,"Northwestern Mutual of Rochester is seeking Financial Advisors to provide personalized financial planning services to clients. The role involves acquiring clientele, offering tailored financial solutions, and staying informed on market trends. Successful candidates will educate clients, drive action, and maintain client financial plans. Compensation includes competitive rates, production-based pay, bonus programs, and benefits like retirement packages and insurance. Requirements include a 4-year degree, financial licensing (or willingness to obtain), sales or client-facing experience, and strong financial planning knowledge. Northwestern Mutual offers comprehensive training, growth opportunities, and access to industry experts. Join our team to make a difference in clients' lives and build a rewarding career with a top financial services company. Apply now to start your journey with us!","1. Client acquisition and relationship building, 2. Knowledge of financial products and market trends, 3. Licensing and registration for financial products, 4. Client education through reporting tools and illustrations, 5. Expert influence and recommendation skills, 6. Business development and",Salary information: NA,https://www.linkedin.com/in/patrick-case?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB8AZI0BoCs53aEeCrvdcuH5C7jV2tQ6xHA,https://www.linkedin.com/jobs/view/3938879562/
c9e02ca9-5077-491f-bde1-d5e1f9b1bbc3,Machine Learning Scientist | Voxel51,Voxel51,Work from home.,"Join Voxel51's remote team as a Machine Learning Scientist to drive innovation in AI. Develop APIs and methods for dataset curation and model analysis, influencing AI advancements across industries. Showcase your expertise in Python, TensorFlow, and PyTorch, alongside open-source project contributions. With 5+ years of ML experience and advanced degrees, establish yourself as a data-centric ML thought leader through diverse marketing activities and technical leadership. Competitive compensation in the $200K-$250K range, coupled with equity options and remote collaboration within our thriving team. Advance your career at the forefront of AI proliferation within a supportive, human-first environment.","Essential skills required for the job:, , 1. 5+ years of professional experience working on an applied ML product, 2. MS or PhD in computer science or a related field, 3. Proficiency with Python, 4. Expertise with machine",$200K/yr - $250K/yr - per year,https://www.linkedin.com/in/jason-corso?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAUUttcBqYTH-L8boDqtske_n96670nm6M0,https://www.linkedin.com/jobs/view/3887053535/
3d8c7eba-8bc0-4245-b08b-7b4226526dcb,"Principal Software Engineer, Yahoo Mail | Yahoo",Yahoo,Job location: Remote.,"Join the Yahoo Mail team in designing, implementing, and maintaining features for over 220 million users worldwide. As a Senior Software Engineer, you will lead high-impact projects, influence a distributed team, and contribute to the technical excellence of our email platform. Bring your 10+ years of experience in Java or C++ development, cloud architecture, and REST APIs to drive innovation and excellence in our products. If you thrive in a collaborative environment, have a passion for solving complex problems, and possess strong technical acumen, we want you on our team. Embrace the opportunity to impact millions of users every month and propel Yahoo’s success to new heights.","1. Designing, implementing, testing, and debugging features in mail supporting client features., 2. Providing technical leadership on high-impact projects., 3. Influencing and coaching a distributed team of engineers., 4. Requesting and participating in code reviews",$143.6K/yr - $299.4K/yr. Per year.,https://www.linkedin.com/in/ntraj?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAABMBQkBroUA-NUYQ-kWvHqpYUuqE8PCoCU,https://www.linkedin.com/jobs/view/3849796684/
1572db10-aef2-49b1-b99e-eada322e1557,"Software Engineer, Infrastructure | Airtable",Airtable,Employment type: Full-time.,"Airtable is looking for backend engineers to join our team in San Francisco or New York City to enhance product infrastructure. The roles available are in Storage, Data Infrastructure, Service Orchestration, and Developer Effectiveness teams. Responsibilities include improving infrastructure, building scalable systems, and ensuring reliability and performance. Ideal candidates have 2+ years of industry experience, strong CS background, and a willingness to learn new technologies. Base salary ranges from $148,100 to $221,500, with additional benefits and stock options. Candidates must be located or willing to relocate to specified areas. Airtable is an equal opportunity employer fostering diversity and inclusivity.","**Essential Skills for the Job:**, , 1. Experience in databases, distributed systems, service-oriented architectures, and data infrastructure.,  , 2. Strong background in computer science with a degree in CS or a related field.,  , 3. Proficiency in",Salary range: $148.1K/yr - $221.5K/yr. Per year.,https://www.linkedin.com/in/michealb?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMrEtcBto1xftXVl3Gr8nlIMJ79mlzk_EQ,https://www.linkedin.com/jobs/view/3903533568/
b9b0eb92-1c38-45a8-a601-ab1dd269f19c,Postdoctoral Research Associate in AI and Bioinformatics | University at Buffalo,University at Buffalo,Requires full-time commitment.,"Join the University at Buffalo as a postdoctoral associate in AI and bioinformatics. Utilize machine learning and mathematics to analyze complex biomedical data. Supervise graduate students while conducting research. Required: Ph.D. in relevant field, proficiency in Matlab, R, or Python, strong statistical and computational background. Effective communication skills and ability to work independently and collaboratively essential. Biology understanding beneficial. Apply by submitting CV, publications, and references to Dr. Yijun Sun at yijunsun@buffalo.edu. Dive into impactful research at a top public research university dedicated to academic excellence. Learn more about UB at buffalo.edu.","1. Strong background in statistics and computational sciences, 2. Proficiency in Matlab, R, or Python, 3. Good communication skills, 4. Ability to work effectively individually and as part of a team",NA,https://www.linkedin.com/in/yijun-sun-94714313?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAKwmYcBcJLE7DGRvgUCsVPJ4zJFJ2wnDkw,https://www.linkedin.com/jobs/view/3857813931/
68ef43f9-9737-46ae-a4db-8f59292bfdc5,"Analyst I, Laboratory | Materion Corporation",Materion Corporation,"Employment level is On-site, matches job preferences","Join Materion as a Lab Analyst to conduct analytical testing and manage data for customers and ISO 17025 requirements. Responsibilities include sample preparation, assay testing, and communication with managers. The role requires a minimum of 2 years of relevant analytical experience and a high school diploma or GED, with a Chemistry degree preferred. Familiarity with QMS software and testing techniques like ICP and SEM/EDX is beneficial. Pay range is $19.00 - $26.00. Eligibility for U.S. controlled technology access is necessary. Materion is an equal opportunity employer, committed to diversity and inclusion. Veterans are encouraged to apply.","Essential skills required for the job:, 1. Sample preparation, 2. Analytical and/or assay testing, 3. Data management, 4. Knowledge of ISO 17025 management system, 5. Following standard operating procedures (SOP), 6.","$19/hr - $26/hr; full-time, on-site.",https://www.linkedin.com/in/christopherswagler?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACB2Y7kB_X0x6_WICNxmmwbacJTL407kCSU,https://www.linkedin.com/jobs/view/3907959747/
fb5ce326-96c8-43b3-bcc4-d614ceb532e3,Terminal Supervisor | Midland Asphalt Materials Inc.,Midland Asphalt Materials Inc.,Part-time flexible employment with both remote and in-person,"Barrett Industries seeks a Terminal Supervisor for its Entry-Level Rotation Program in the Northeast, offering training in Liquid Asphalt Plant Operations. For 24-36 months, duties include plant operations, maintenance, and collaboration with local management teams on production, inventory, maintenance, and more. Requirements: recent college graduate in engineering or related field, willingness to relocate within the region, valid driver's license, effective communication, computer proficiency, safety commitment, and ability to lift 65 lbs. Gain insights into road construction business facets. Join us for a comprehensive learning experience.","Essential skills required for the job:, , 1. Technical knowledge in mechanical, industrial engineering, construction management, or a related field, 2. Operating liquid asphalt plant equipment, 3. Plant maintenance and general maintenance skills, 4. Inventory management, 5.","$70,000 per year",https://www.linkedin.com/in/mary-miller-783618150?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACRmE1MBfAmjB7DDrBMD663suYfw_JesKx4,https://www.linkedin.com/jobs/view/3927463730/
145e4b79-152f-455b-a43e-b228821f85eb,Student Support Roles | Bryant & Stratton College,Bryant & Stratton College,Full-time employment.,"Join Bryant & Stratton College in Buffalo, NY as a full-time Student Support position at our local Campuses. Assist students with academic needs, provide guidance and support, and collaborate with a diverse team. Strong interpersonal skills, multitasking abilities, and proficiency in technology are required. Experience in higher education or customer service is a plus. Bachelor's degree preferred. Remote work flexibility available. Grow your career with us today!","1. Strong interpersonal and communication skills, 2. Experience in providing student support or customer service, 3. Ability to multitask and prioritize tasks effectively, 4. Proficiency in using technology and learning management systems, 5. Attention to detail and strong organizational",NA,https://www.linkedin.com/in/meaningfulwork?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAws3h4BXSSEOESTdq69M6lxheI6Tot3Iwc,https://www.linkedin.com/jobs/view/3941486975/
60ea13d1-df07-46d5-901b-3fcb510b663b,Product Manager | Trust Wallet,Trust Wallet,Are you looking for full-time job opportunities?,"Seeking a Product Manager with 2+ years of experience in DeFi or blockchain, responsible for planning, designing, and managing competitive blockchain products. Must have a strong interest in DeFi/blockchain, exceptional project management skills, and the ability to analyze market trends to drive product improvements. Excellent communication, collaboration, and problem-solving skills required. Join Trust Wallet for the opportunity to be part of a leading blockchain ecosystem, work with diverse talent, and enjoy career development prospects. Benefit from competitive salary, flexible hours, and a global, inclusive work environment. Apply now to help build the world's most trusted crypto wallet and shape a decentralized future.","Essential skills required for the job:, , 1. Product management experience (2+ years), 2. Strong interest and passion in DeFi or blockchain, 3. Project management and team collaboration skills, 4. Understanding of user needs in DeFi and Blockchain",Salary: NA,https://www.linkedin.com/in/chzou?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAFvAewBTjONv7FHG07FUZ89cz1QUgwWUn8,https://www.linkedin.com/jobs/view/3868052786/
56db8377-f57c-4ce7-a774-1d8036f53278,Principal Machine Learning Engineer | Atlassian,Atlassian,40+ hours/week; typically 9-,"Atlassian is hiring a Principal Machine Learning Scientist to join our Central AI team in Bellevue, WA. Collaborate with product, engineering, and analytics teams to implement machine learning algorithms across Atlassian products. Ideal candidates will have a Bachelor's or Master's degree in Computer Science, 5+ years of data science experience, expertise in Python or Java, and experience with building and scaling machine learning models. Compensation ranges from $190,300 to $305,700 depending on location. Atlassian offers comprehensive benefits and a commitment to diversity and inclusivity. Join us in empowering teams worldwide.","Essential skills required for the job:, , 1. Bachelor's or Master's degree in Computer Science or equivalent experience, 2. 5+ years of related industry experience in the data science domain, 3. Expertise in Python or Java and the ability",Salary range is $206.3K-$305.7K per year.,https://www.linkedin.com/in/damienjose?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAFHZN8B0qF_4dUcWGmoYD4VVbZrMaF1q4Q,https://www.linkedin.com/jobs/view/3831222851/
4cab2f10-6f8b-45e5-97e6-f4c28091eaab,Experienced Real Estate Agent | REAL New York,REAL New York,Combines office and remote work options.,"Join REAL New York, a top real estate brokerage, seeking ambitious agents for our Manhattan locations. Utilize your local market knowledge to assist clients in buying, selling, or renting properties. Benefits include training, networking, marketing support, and more. Requires NY Real Estate License, full-time availability, tech proficiency, and strong interpersonal skills. Entrepreneurial spirit and flexibility needed. Full-time, contract position with earning potential of $75,000 - $400,000 per year. Flexible schedule and professional development assistance offered. Apply at https://careers.realnyproperties.com/.","1. New York State Real Estate License, 2. Knowledge of local real estate market trends, 3. Proficiency in industry software and technology, 4. Excellent interpersonal skills, 5. Ability to work independently and as part of a team, 6.","Salary range: $75,000 to $400,000 per year.",https://www.linkedin.com/in/katharine-damiani?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC0yS-MBRaLaSlpDV8TayIIqPP50xnf9oTw,https://www.linkedin.com/jobs/view/3937052175/
78c8b549-16b5-4949-bef2-fe7fd22bd26f,"Engineering Manager, Trading Services | Robinhood",Robinhood,Full-time position.,"Join Robinhood, a leading fintech company focused on democratizing finance. We're seeking an Engineering Manager to lead a team working on core business logic for trading equities, options, and crypto assets. You'll mentor engineers, manage projects, and collaborate with cross-functional teams to drive impactful solutions. Ideal candidates have 2+ years managing backend engineers, 5+ years of backend software engineering experience, and expertise in high-performance systems. Strong communication, accountability, and a passion for career development are key. Compensation ranges from $169,000 to $255,000 USD based on location. If you're excited about our mission and values, apply to be part of our journey in reshaping the financial landscape.","Essential skills required for the job: , 1. Managing and coaching a team of software engineers, 2. Project management, 3. Collaboration with other teams and managers, 4. Technical expertise in architecting solutions, 5. Experience with high performance and",Salary information not provided. NA,https://www.linkedin.com/in/vincentchen06?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAALof5UBe5mNerhXlhpDho8O7DEYQCJjw18,https://www.linkedin.com/jobs/view/3872357673/
